kabko,latitude,longitude,group,region,ADM2_PCODE
KAB. ACEH BARAT,4.4543,96.1527,1,Aceh,ID1107
KAB. ACEH BARAT DAYA,3.7963,97.0068,1,Aceh,ID1112
KAB. ACEH BESAR,5.4529,95.4778,1,Aceh,ID1108
KAB. ACEH JAYA,4.7874,95.6458,1,Aceh,ID1116
KAB. ACEH SELATAN,3.3115,97.3517,1,Aceh,ID1103
KAB. ACEH SINGKIL,2.3589,97.8722,1,Aceh,ID1102
KAB. ACEH TAMIANG,4.2329,98.0029,1,Aceh,ID1114
KAB. ACEH TENGAH,4.4483,96.8351,1,Aceh,ID1106
KAB. ACEH TENGGARA,3.3089,97.6982,1,Aceh,ID1104
KAB. ACEH TIMUR,4.5224,97.6114,1,Aceh,ID1105
KAB. ACEH UTARA,4.9786,97.2221,1,Aceh,ID1111
KAB. BENER MERIAH,4.7514,96.9525,1,Aceh,ID1117
KAB. BIREUEN,5.1086,96.6638,1,Aceh,ID1110
KAB. GAYO LUES,3.9552,97.3517,1,Aceh,ID1113
KAB. NAGAN RAYA,4.1248,96.493,1,Aceh,ID1115
KAB. PIDIE,5.0743,95.941,1,Aceh,ID1109
KAB. PIDIE JAYA,5.1548,96.1951,1,Aceh,ID1118
KAB. SIMEULUE,2.644,96.0256,1,Aceh,ID1101
KOTA BANDA ACEH,5.5483,95.3238,1,Aceh,ID1171
KOTA LANGSA,4.4725,97.9756,1,Aceh,ID1173
KOTA LHOKSEUMAWE,5.1812,97.1413,1,Aceh,ID1174
KOTA SABANG,5.8926,95.3238,1,Aceh,ID1172
KOTA SUBULUSSALAM,2.7121,97.9157,1,Aceh,ID1175
KAB. ASAHAN,2.8175,99.6341,2,North Sumatra,ID1208
KAB. BATUBARA,3.1741,99.5006,2,North Sumatra,ID1219
KAB. DAIRI,2.8676,98.2651,2,North Sumatra,ID1210
Danau Toba,,,2,North Sumatra,ID1288
KAB. DELI SERDANG,3.4202,98.7041,2,North Sumatra,ID1212
KAB. HUMBANG HASUNDUTAN,2.1989,98.5721,2,North Sumatra,ID1215
KAB. KARO,3.1053,98.2651,2,North Sumatra,ID1211
KAB. LABUHANBATU,2.344,100.1703,2,North Sumatra,ID1207
KAB. LABUHANBATU SELATAN,1.8799,100.1703,2,North Sumatra,ID1222
KAB. LABUHANBATU UTARA,2.3466,99.8125,2,North Sumatra,ID1223
KAB. LANGKAT,3.8654,98.3088,2,North Sumatra,ID1213
KAB. MANDAILING NATAL,0.7432,99.3673,2,North Sumatra,ID1202
KAB. NIAS,1.0869,97.7417,2,North Sumatra,ID1201
